company_dba,address_concat,latitude,longitude,rating,total_ratings,marta_density_score,user_rating_score,viability_score
Oakland City Food Mart,976 oakland dr sw nan nan atlanta GA 30310,33.728279277556,-84.42690103521,4.1,9.0,27406.543631593657,4.51,2.114761898960523
American Deli,1624 Donald Lee Hollowell PKWY Atlanta GA 30318,33.772270816272,-84.441362919491,3.6,288.0,19118.41801687617,4.485923223392358,2.10347217616238
American Deli,"2685 Metropolitan Pkwy SW, Suite H-3 nan nan ATLANTA GA 30315",33.682657416762,-84.409021094632,3.6,288.0,8418.542585110965,4.485923223392358,2.1034721761623794
Great American Cookie/PretzelMaker,2841 Greenbriar Pkwy SW Space N-425 nan nan Atlanta GA 30331,33.686618033651,-84.495719393946,3.8,56.0,12714.22648410407,4.467232445155547,2.0947079753470517
AMERICAN DELI,3565 MARTIN LUTHER KING JR DR SW UNIT 8 nan nan ATLANTA GA 30331,33.759178995974,-84.504399022322,3.7,77.0,11030.810835941873,4.400075002995479,2.063217509734689
FISH CLUB,2841 Greenbriar Pkwy SW nan nan Atlanta GA 30331,33.686618033651,-84.495719393946,3.9,17.0,12714.22648410407,4.389556276990289,2.0582852257033406
HISTORIC DON CLENDENON SUPPER CLUB & WILLIAMS TAVERN,899 MARTIN L KING JR DR ATLANTA GA 30314,33.754974465703,-84.417031511859,3.5,267.0,25451.91151117887,4.3498471779100765,2.039665427526648
EXXON FOOD MART,1163 METROPOLITAN Parkway Atlanta GA nan,33.723193138709,-84.4081564175,3.6,90.0,13142.363777333901,4.305254901235594,2.0187558825822802
Church's Chicken 725,3561 MARTIN L KING JR Drive Atlanta GA 30331,33.758934873044,-84.504099034008,3.3,1023.0,8740.801234780127,4.293398985691138,2.0131965835865575
GYRO CHEF,1475 ATLANTA INDUSTRIAL WAY ATLANTA GA 30331,33.796598116773,-84.492870468876,3.6,72.0,3682.7732958466368,4.270796229643364,2.002598036513091
McDonald's,2091 METROPOLITAN Parkway Atlanta GA nan,33.698173325368,-84.408498566788,3.2,2162.0,10211.06295553214,4.26721808622051,2.0009202268945394
Welcome Foods McDaniel,1003 McDaniel nan ST Atlanta GA 30310,33.727570294276,-84.401929250174,3.6,12.0,22050.74627080327,4.001019606830461,1.8760984083190841
ABERNATHY BP,180 Ralph David Abernathy Blvd 180 Ralph David Abernathy Blvd BLVD Atlanta GA 30312,33.738095,-84.408465,3.5,24.0,137224.2822067652,3.9892790030352137,1.8705931795880466
Popeyes #14804,3888 JONESBORO Road Atlanta GA nan,33.648261690349,-84.364962961695,3.2,161.0,27150.000548283755,3.9070448046536423,1.8320331464330781
Authentic Steak & Seafood,2997 CAMPBELLTON ROAD nan RD ATLANTA GA 30311,33.696166655839,-84.486884029809,3.3,63.0,11703.965797108423,3.896039391414683,1.8268726522867218
Travel INN,2788 FORREST HILL DR Atlanta GA nan,33.678545003607,-84.399022992886,3.0,447.0,3161.7130755815374,3.795383404199443,1.7796745488133188
Popeye's Louisiana Kitchen,2845 GREENBRIAR Parkway Atlanta GA nan,33.690110730794,-84.489457106446,3.0,148.0,18855.4215213084,3.6519558805236825,1.7124206547264547
Munchiez,3000 Stone Hogan Connector Rd SW nan nan Atlanta GA 30331,33.672763502073,-84.494414163984,3.0,120.0,3910.041136970733,3.6248356110949356,1.6997038226915415
Pizza Hut,2461 METROPOLITAN Parkway Atlanta GA nan,33.6879166,-84.409005169016,2.7,771.0,7789.665516583375,3.479656671090649,1.6316286805956346
FAIR STREET SUPERMARKET,1021 FAIR ST ATLANTA GA 30314,33.749199669691,-84.421301001879,3.0,4.0,25962.56168385859,3.209691001300806,1.505040407314278
Ricks Raging Q LLC,1990 PERKERSON RD ATLANTA GA 30310,33.700474744523,-84.416933862687,2.8,5.0,6412.4912707605135,3.0178823501074197,1.4151003568852798
,2885 LAKEWOOD AVE ATLANTA GA 30315,33.697990013146,-84.41049203482,,,4539.0881640442185,0.0,0.0
,3030 HEADLAND DR ATLANTA GA 30311,33.688614561078,-84.487639155466,,,9347.19684482238,0.0,0.0
,2149 Metropolitan Pkwy SW nan nan Atlanta GA 30315,33.69582199198,-84.408670982536,,,18028.416269583333,0.0,0.0
,2910 CAMPBELLTON RD ATLANTA GA 30311,33.697482866094,-84.483684992643,,,14611.433518674914,0.0,0.0
Elote Express #1,1990 PERKERSON Road Atlanta GA nan,33.700534800859,-84.417017430261,,,6823.728354958722,0.0,0.0
,3153 latona nan DR Atlanta GA 30354,33.66858944002,-84.395773496663,,,4398.718299569811,0.0,0.0
,1990 PERKERSON Road Atlanta GA nan,33.700534800859,-84.417017430261,,,6823.728354958722,0.0,0.0
,1475 ATLANTA INDUSTRIAL Way Atlanta GA 30331,33.796598116773,-84.492870468876,,,3682.7732958466368,0.0,0.0
,1728 CAMPBELLTON  nan RD ATLANTA GA 30311,33.711028859816,-84.444561956657,,,71847.08063815192,0.0,0.0
,2041MLK JR nan DR Atlanta GA 30310,33.750310984324,-84.453652968841,,,23665.386751888094,0.0,0.0
,1916 HARBIN RD ATLANTA GA 30311,33.703534809734,-84.480136513934,,,3704.4970478573277,0.0,0.0
,2641 DONALD L HOLLOWELL HWY ATLANTA GA 30318,33.77637090803,-84.473335689154,,,15302.872983593144,0.0,0.0
,211 CLEVELAND AVE ATLANTA GA 30315,33.68145859506,-84.395852286553,,,27426.73078825315,0.0,0.0
,1990 Perkerson Road SW nan nan ATLANTA GA 30310,33.700534800859,-84.417017430261,,,6823.728354958722,0.0,0.0
,3450 ATLANTA INDUSTRIAL PKWY Atlanta GA nan,33.795636167655,-84.496293721952,,,16199.21639000162,0.0,0.0
,1919 Metropolitan pkwy nan nan ATLANTA GA 30315,33.702584343824,-84.410140330163,,,5650.252742111651,0.0,0.0
D.O.P. Cafe,1265  Lee nan ST Atlanta nan 30310,33.720449155066,-84.424590395961,,,7806.685428132881,0.0,0.0
,387 Cleveland Avenue SW Suite 4 nan Atlanta GA 30315,33.681710261703,-84.402275422775,,,20877.833698471073,0.0,0.0
,1192 PRYOR RD ATLANTA GA 30315,33.722683309448,-84.392781324868,,,18209.16558235367,0.0,0.0
,825 MARTIN L KING JR DR ATLANTA GA 30314,33.755043323038,-84.413275916322,,,17808.60193182416,0.0,0.0
,839 CLEVELAND AVE ATLANTA GA 30315,33.681760134027,-84.416162476137,,,22789.25848526418,0.0,0.0
,3657 MARTIN L KING JR DR ATLANTA GA 30331,33.76209317416,-84.507509378953,,,21547.959846975587,0.0,0.0
,2740 GREENBRIAR PKWY ATLANTA GA 30331,33.688594989334,-84.488609696035,,,9657.805930489301,0.0,0.0
,3201 Atlanta Industrial Parkway nan nan Atlanta GA 30331,33.792059986755,-84.494820015735,,,17772.01229969263,0.0,0.0
,1990 Perkerson Rd nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,,,6823.728354958722,0.0,0.0
,2179 Verbena nan ST ATLANTA GA 30314,33.75544913288,-84.459942832803,,,13114.358210930543,0.0,0.0
,3349 MARTIN L KING JR DR ATLANTA GA 30331,33.754952966121,-84.497328132623,,,15536.651632971194,0.0,0.0
,3613 MARTIN L KING JR DR ATLANTA GA 30331,33.760355018899,-84.505906004694,,,52834.488283335275,0.0,0.0
,1699 SYLVAN RD ATLANTA nan 30310,33.708362995511,-84.418359037684,,,17064.66295078024,0.0,0.0
,1089 Allene Ave nan AVE Atlanta GA 30310,33.72550960338,-84.414485173493,,,2098.9457476859006,0.0,0.0
,1518 Jonesboro RD Atlanta GA 30315,33.712810726703,-84.382256671964,,,24607.100308167577,0.0,0.0
,352 University nan AVE Atlanta GA 30310,33.721187139731,-84.399771580659,,,10098.600917577503,0.0,0.0
,3401 ATLANTA INDUSTRIAL PKWY ATLANTA GA 30331,33.793720274136,-84.49435473629,,,14830.276614473725,0.0,0.0
Windell's Seafood LLC,1475 Atlanta Industrial Way nan WAY Atlanta GA 30331,33.796598116773,-84.492870468876,,,3682.7732958466368,0.0,0.0
,1990 Perkerson Rd SW K30 nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,,,6823.728354958722,0.0,0.0
,733 JOSEPH E BOONE BLVD ATLANTA GA 30314,33.763490018325,-84.411297032801,,,60727.57771535467,0.0,0.0
,1800 JONESBORO RD Atlanta GA nan,33.70500428309,-84.377853239131,,,17321.64253744039,0.0,0.0
,1475 Atlanta Industrial nan WAY Atlanta GA 30331,33.796598116773,-84.492870468876,,,3682.7732958466368,0.0,0.0
,3565 MARTIN LUTHER KING JR nan DR ATLANTA GA 30331,33.759178995974,-84.504399022322,,,11030.810835941873,0.0,0.0
,nan nan nan Atlanta GA 30314,33.75584,-84.429562,,,4285.241664039249,0.0,0.0
,nan nan ST Atlanta GA 30310,33.728257,-84.4217001,,,6497.75665767257,0.0,0.0
,451 Lee Street nan ST Atlanta GA 30311,33.742608853496,-84.414726823761,,,8724.033373245482,0.0,0.0
,2969 CAMPBELLTON RD ATLANTA GA 30311,33.696923835062,-84.485517360496,,,14986.60088008528,0.0,0.0
,1089 ALLENE Avenue Atlanta GA nan,33.72550960338,-84.414485173493,,,2098.9457476859006,0.0,0.0
MAMA JANE SEAFOOD LLC,2960 CAMPBELLTON nan RD Atlanta GA 30310,33.696695051015,-84.484780842664,,,11102.159216521575,0.0,0.0
,421 CLEVELAND AVE ATLANTA GA 30315,33.681735533141,-84.403480153719,,,12575.684315831197,0.0,0.0
,1468 WESTRIDGE Road Atlanta GA nan,33.715572689527,-84.446441514625,,,18428.410211366307,0.0,0.0
,211 Boykin Street nan ST Atlanta GA 30315,33.723194018809,-84.394943017696,,,6739.7416257449895,0.0,0.0
,1990 PERKERSON Road Atlanta GA 30310,33.700534800859,-84.417017430261,,,6823.728354958722,0.0,0.0
,1995 Metropolitan pkwy nan nan Atlanta GA 30315,33.699291010247,-84.40815298092,,,41653.90694541651,0.0,0.0
,1955 Campbellton nan RD Atlanta GA 30311,33.708515713787,-84.453130608636,,,28437.66054642907,0.0,0.0
,412 SAWTELL Avenue Atlanta GA nan,33.708198374933,-84.375588784169,,,2558.515191209583,0.0,0.0
,1162 PRYOR ST ATLANTA GA 30315,33.722611727995,-84.392828514982,,,17742.492205741262,0.0,0.0
,2179 VERBENA Street Atlanta GA nan,33.75544913288,-84.459942832803,,,13114.358210930543,0.0,0.0
,1990 Perkerson Road nan nan Atlanta GA 30310,33.700534800859,-84.417017430261,,,6823.728354958722,0.0,0.0
,609 WHITEHALL ST ATLANTA GA 30303,33.742505001716,-84.407906469148,,,5582.627269792554,0.0,0.0
,2185 Martin L King Jr DR Atlanta GA 30311,33.752624934424,-84.462862249679,,,102298.84623470457,0.0,0.0
,1192 PRYOR RD ATLANTA GA 30315,33.722683309448,-84.392781324868,,,18209.16558235367,0.0,0.0
,2079 JOSEPH E BOONE Boulevard Atlanta GA nan,33.764023987466,-84.456308355767,,,25903.02428579705,0.0,0.0
Simplicity Beverage Company,817 HARWELL Road Atlanta GA 30318,33.777763561242,-84.494725803144,,,5192.5600455962285,0.0,0.0
,2250 Marietta nan BLVD Atlanta GA 30318,33.805857227128,-84.463820240026,,,21105.682968764595,0.0,0.0
,2176 COUNTY LINE RD Atlanta GA 30311,33.695270127475,-84.534369271497,,,13186.439764823239,0.0,0.0
,2238 PERKERSON Road Atlanta GA 30315,33.693603008843,-84.410534531069,,,3768.3619948684354,0.0,0.0
,1990 Perkerson Rd nan nan Atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,1990 Perkerson Rd nan nan Atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,191 Ralph David Abernathy Blvd. nan nan Atlanta GA 30312,33.737016615335,-84.394203650017,,,23865.12061572046,0.0,0.0
,1996 PLAZA LN SW nan nan Atlanta GA 30311,33.701540604879,-84.452579748369,,,10694.206642961906,0.0,0.0
,3120 DONALD LEE HOLLOWELL Parkway Atlanta GA nan,33.783877489056,-84.489262143378,,,12675.914351968311,0.0,0.0
,1990 Perkerson rd sw unit 54 nan nan atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,110 dogwood dr Apt d nan Atlanta GA 30318,33.782573536888,-84.493009101913,,,64963.3895247031,0.0,0.0
,2191 CAMPBELLTON Road Atlanta GA nan,33.705803539467,-84.460166378161,,,14635.382770561046,0.0,0.0
,1990 PERKERSON RD SW nan nan Atlanta GA 30310,33.700474744523,-84.416933862687,,,6412.4912707605135,0.0,0.0
,3455 Martin Luther King JR nan DR Atlanta GA 30331,33.756387361212,-84.500505963573,,,22625.379215241875,0.0,0.0
,2260 CASCADE RD ATLANTA GA 30311,33.722277373877,-84.462537450931,,,17113.41899122674,0.0,0.0
,3451 ATLANTA INDUSTRIAL PKWY ATLANTA GA 30331,33.795052996741,-84.494366973869,,,8044.006861710125,0.0,0.0
,2065 STEWART AVE ATLANTA GA 30315,33.699263539716,-84.408159633959,,,46058.88851692578,0.0,0.0
,176 FAIRBURN RD ATLANTA GA 30331,33.760581120737,-84.505363192645,,,13831.889389650401,0.0,0.0
,3181 DONALD L HOLLOWELL PKWY ATLANTA GA 30318,33.786490421643,-84.489931941261,,,8325.832668341991,0.0,0.0
